questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"rRNA এর কাজ কোনটি?","অ্যামিনো এসিড বহন করা","স্প্লাইসিং-এ অংশগ্রহন করা","প্রোটিন সংশ্লেষণ করা","রাইবোজোম গঠন করা",,4,"রাইবোসোমাল RNA বা rRNA রাইবোজোম গঠনে প্রধান ভূমিকা রাখে।",1,1
"যে কোষাণুটি হাইড্রোলাইটিক এনজাইমের আধার হিসাবে কাজ করে, তার নাম কি?",লাইসোজোম,রাইবোজোম,মাইটোকন্ড্রিয়া,"গলগি বডি",,1,"লাইসোসোম হাইড্রোলাইটিক এনজাইম ধারণ করে যা পরিপাকে সাহায্য করে।",1,1
"ক্রোমোজনীয় নৃত্য কোন দশায় দেখা যায়?",প্রোফেজ,প্রোমেটাফেজ,মেটাফেজ,সবকয়টি,,2,"প্রোমেটাফেজ দশায় স্পিন্ডল তন্তুর সাথে ক্রোমোজোমের আকর্ষণ ও নড়াচড়াকে ক্রোমোজোমাল নৃত্য বলে।",1,1
"প্রােটিন কোডিং জিনের ট্রান্সক্রিপশন প্রক্রিয়ায় কোন এনজাইম প্রয়ােজন হয়?","DNA polymerase","RNA polymerase I","RNA polymerase II","RNA polymerase III",,3,"mRNA তৈরির জন্য RNA পলিমারেজ II এনজাইম কাজ করে।",1,1
"mRNA এর প্রধান কাজ কোনটি?","রাইবোজম গঠন করা","অ্যামিনো এসিড বহন করা","ট্রান্সলেশন পদ্ধতিতে প্রোটিন সংস্লেশন করা","ক্রোমোজোম গঠনে সহায়তা করা",,3,"mRNA প্রোটিন তৈরির জন্য প্রয়োজনীয় কোডন বহন করে প্রোটিন সংশ্লেষণে ভূমিকা রাখে।",1,1
"Chromosome সমাপ্তিস্থলকে বলে-",Telomere,Centromere,Setellite,Maramere,,1,"ক্রোমোজোমের শেষ প্রান্তকে টেলোমিয়ার বলা হয়।",1,1
"নিচের কোন অঙ্গানু কোন বিভাজনে অংশ নেয়?",মাইট্রোকনড্রিয়া,সেন্ট্রিওল,"গলগি বস্তু","নিউক্লিও জিল্লি",,2,"সেন্ট্রিওল প্রাণী কোষে অ্যাস্টার রে গঠন করে কোষ বিভাজনে সাহায্য করে।",1,1
"কোষ বিভাজনের কোন পর্যায়ে টেট্রাডসমুহ পাওয়া যায়?",ডায়াকাইনেসিস,জাইগোটিন,প্যাকাইটিন,ল্যাপ্টোটিন,,3,"মায়োসিস-১ এর প্যাকাইটিন উপপর্যায়ে বাইভ্যালেন্ট বা টেট্রাড সৃষ্টি হয়।",1,1
"মানব জিনোমে বেইজ-পেয়ারস (base-pairs) সংখ্যা কত মিলিয়ন?",3,30,300,3000,,4,"মানব জিনোমে প্রায় ৩০০০ মিলিয়ন বেইজ পেয়ার থাকে।",1,1
"গোল আলুর ক্রোমোজোম সংখ্যা কত?",24,16,48,14,,3,"গোল আলুর ডিপ্লয়েড ক্রোমোজোম সংখ্যা ৪৮।",1,1
